wine_name,vintage,popularity,score,avg_price
"Ata Rangi Pinot Noir, Martinborough, New Zealand","
                            2012                    ","
                            791","
                            97/100                    ",54
"Ata Rangi Pinot Noir, Martinborough, New Zealand","
                            2011                    ","
                            791","
                            97/100                    ",57
"Ata Rangi Pinot Noir, Martinborough, New Zealand","
                            2010                    ","
                            791","
                            97/100                    ",53
"Ata Rangi Pinot Noir, Martinborough, New Zealand","
                            2008                    ","
                            791","
                            97/100                    ",                    
"Ata Rangi Pinot Noir, Martinborough, New Zealand","
                            2006                    ","
                            791","
                            97/100                    ",67
"Bodegas Toro Albala Don PX Seleccion, Montilla-Moriles, Spain","
                            1965                    ","
                            1,852","
                            97/100                    ",157
"Felton Road Block 3 Pinot Noir, Bannockburn, New Zealand","
                            2013                    ","
                            2,112","
                            97/100                    ",67
"Wynns Coonawarra Estate Michael Shiraz, Coonawarra, Australia","
                            2013                    ","
                            2,602","
                            97/100                    ",73
"Wynns Coonawarra Estate Michael Shiraz, Coonawarra, Australia","
                            2012                    ","
                            2,602","
                            97/100                    ",72
"Cloudy Bay Chardonnay, Marlborough, New Zealand","
                            2013                    ","
                            2,728","
                            97/100                    ",29
"BVE Barossa Valley Estate E & E Black Pepper Shiraz, Barossa Valley, Australia","
                            2004                    ","
                            2,762","
                            97/100                    ",                    
"Felton Road Block 5 Pinot Noir, Bannockburn, New Zealand","
                            2012                    ","
                            3,213","
                            97/100                    ",82
"Felton Road Block 5 Pinot Noir, Bannockburn, New Zealand","
                            2010                    ","
                            3,213","
                            97/100                    ",95
"Burn Cottage Pinot Noir, Central Otago, New Zealand","
                            2014                    ","
                            3,747","
                            97/100                    ",53
"Burn Cottage Pinot Noir, Central Otago, New Zealand","
                            2013                    ","
                            3,747","
                            97/100                    ",53
"Felton Road Bannockburn Pinot Noir, Bannockburn, New Zealand","
                            2007                    ","
                            847","
                            97/100                    ",50
"Framingham Select Riesling, Marlborough, New Zealand","
                            2010                    ","
                            49,126","
                            97/100                    ",                    
"Nautilus Estate Chardonnay, Marlborough, New Zealand","
                            2014                    ","
                            52,702","
                            97/100                    ",17
"Giesen Single Vineyard Ridge Block Pinot Noir, Marlborough, New Zealand","
                            2012                    ","
                            56,684","
                            97/100                    ",42
"Puriri Hills Pope, Clevedon, New Zealand","
                            2010                    ","
                            56,684","
                            97/100                    ",96
"Domaine Thomson Gevrey-Chambertin 'Les Evocelles', Cote de Nuits, France","
                            2013                    ","
                            58,153","
                            97/100                    ",55
"Esk Valley 'The Hillside' Malbec - Merlot - Cabernet Franc, Hawke's Bay, New Zealand","
                            2010                    ","
                            58,153","
                            97/100                    ",37
"Craggy Range Le Sol Syrah, Gimblett Gravels, New Zealand","
                            2014                    ","
                            4,011","
                            97/100                    ",60
"Craggy Range Le Sol Syrah, Gimblett Gravels, New Zealand","
                            2007                    ","
                            4,011","
                            97/100                    ",71
"Craggy Range Le Sol Syrah, Gimblett Gravels, New Zealand","
                            2006                    ","
                            4,011","
                            97/100                    ",                    
"Trinity Hill Homage Syrah, Gimblett Gravels, New Zealand","
                            2013                    ","
                            4,616","
                            97/100                    ",73
"Trinity Hill Homage Syrah, Gimblett Gravels, New Zealand","
                            2009                    ","
                            4,616","
                            97/100                    ",106
"Felton Road Cornish Point Pinot Noir, Bannockburn, New Zealand","
                            2015                    ","
                            4,710","
                            97/100                    ",50
"Escarpment Kupe Pinot Noir, Martinborough, New Zealand","
                            2014                    ","
                            4,314","
                            98/100                    ",54
"Escarpment Kupe Pinot Noir, Martinborough, New Zealand","
                            2013                    ","
                            4,314","
                            98/100                    ",29
"Bell Hill Pinot Noir, Canterbury, New Zealand","
                            2013                    ","
                            4,858","
                            98/100                    ",99
"Bell Hill Pinot Noir, Canterbury, New Zealand","
                            2012                    ","
                            4,858","
                            98/100                    ",92
"Bell Hill Pinot Noir, Canterbury, New Zealand","
                            2011                    ","
                            4,858","
                            98/100                    ",77
"Destiny Bay 'Magna Praemia', Waiheke Island, New Zealand","
                            2013                    ","
                            6,982","
                            98/100                    ",258
"Forrest Botrytised Riesling, Marlborough, New Zealand","
                            2011                    ","
                            59,661","
                            97/100                    ",                    
"Stonecroft Reserve Syrah, Gimblett Gravels, New Zealand","
                            2014                    ","
                            73,107","
                            97/100                    ",34
"Sacred Hill Deerstalkers Syrah, Hawke's Bay, New Zealand","
                            2013                    ","
                            73,107","
                            97/100                    ",28
"Gibbston Valley School House Pinot Noir, Bendigo, New Zealand","
                            2014                    ","
                            81,047","
                            97/100                    ",43
"Mt. Difficulty Target Gully Pinot Noir, Bannockburn, New Zealand","
                            2013                    ","
                            81,047","
                            97/100                    ",64
"Sacred Hill Brokenstone, Hawke's Bay, New Zealand","
                            2013                    ","
                            84,016","
                            97/100                    ",44
"Fromm 'Cuvee H' Pinot Noir, Marlborough, New Zealand","
                            2015                    ","
                            87,242","
                            97/100                    ",47
"Churton Petit Manseng, Marlborough, New Zealand","
                            2015                    ","
                            87,242","
                            97/100                    ",53
"Felton Road Calvert Pinot Noir, Bannockburn, New Zealand","
                            2012                    ","
                            7,649","
                            97/100                    ",58
"Craggy Range Aroha Pinot Noir, Martinborough, New Zealand","
                            2012                    ","
                            7,723","
                            97/100                    ",67
"Felton Road Block 2 Chardonnay, Bannockburn, New Zealand","
                            2015                    ","
                            7,891","
                            97/100                    ",44
"Felton Road Block 2 Chardonnay, Bannockburn, New Zealand","
                            2014                    ","
                            7,891","
                            97/100                    ",37
"Taylor Fladgate 40 year old Tawny Port, Portugal","
                                                ","
                            5,757","
                            97/100                    ",175
"Destiny Bay 'Magna Praemia', Waiheke Island, New Zealand","
                            2008                    ","
                            6,982","
                            97/100                    ",285
"Neudorf Moutere Chardonnay, Nelson, New Zealand","
                            2014                    ","
                            9,330","
                            100/100                    ",88
"Ata Rangi Pinot Noir, Martinborough, New Zealand","
                            2014                    ","
                            791","
                            99/100                    ",54
"Dry River Pinot Noir, Martinborough, New Zealand","
                            2013                    ","
                            2,101","
                            99/100                    ",63
"Penfolds Bin 60A Coonawarra Cabernet Sauvignon - Barossa Shiraz, South Australia","
                            1962                    ","
                            2,973","
                            99/100                    ","5,926"
"Destiny Bay 'Magna Praemia', Waiheke Island, New Zealand","
                            2010                    ","
                            6,982","
                            98/100                    ",235
"Craggy Range Aroha Pinot Noir, Martinborough, New Zealand","
                            2014                    ","
                            7,723","
                            98/100                    ",60
"Felton Road Block 2 Chardonnay, Bannockburn, New Zealand","
                            2010                    ","
                            7,891","
                            98/100                    ",                    
"Neudorf Moutere Chardonnay, Nelson, New Zealand","
                            2015                    ","
                            9,330","
                            98/100                    ",52
"Neudorf Moutere Chardonnay, Nelson, New Zealand","
                            2013                    ","
                            9,330","
                            98/100                    ",51
"Neudorf Moutere Chardonnay, Nelson, New Zealand","
                            2007                    ","
                            9,330","
                            98/100                    ",40
"Destiny Bay 'Mystae', Waiheke Island, New Zealand","
                            2010                    ","
                            13,700","
                            98/100                    ",168
"Dry River Pinot Gris, Martinborough, New Zealand","
                            2013                    ","
                            16,685","
                            98/100                    ",47
"Framingham F-Series Riesling Trockenbeerenauslese, Marlborough, New Zealand","
                            2016                    ","
                            18,268","
                            98/100                    ",82
"Framingham F-Series Riesling Trockenbeerenauslese, Marlborough, New Zealand","
                            2015                    ","
                            18,268","
                            98/100                    ",95
"Framingham F-Series Riesling Trockenbeerenauslese, Marlborough, New Zealand","
                            2014                    ","
                            18,268","
                            98/100                    ",                    
"Framingham F-Series Riesling Auslese, Marlborough, New Zealand","
                            2014                    ","
                            90,752","
                            97/100                    ",71
"Esk Valley Winemakers Reserve Syrah, Gimblett Gravels, New Zealand","
                            2013                    ","
                            90,752","
                            97/100                    ",28
"Stella Bella Serie Luminosa Cabernet Sauvignon, Margaret River, Australia","
                            2013                    ","
                            94,568","
                            97/100                    ",40
"Martinborough Vineyard Home Block Chardonnay, Martinborough, New Zealand","
                            2014                    ","
                            98,727","
                            97/100                    ",31
"Pegasus Bay Virtuoso Chardonnay, Waipara, New Zealand","
                            2013                    ","
                            98,727","
                            97/100                    ",40
"Forrest John Forrest Collection Noble Riesling, Marlborough, New Zealand","
                            2006                    ","
                            108,369","
                            97/100                    ",45
"Framingham Noble Selection Riesling, Marlborough, New Zealand","
                            2016                    ","
                            113,998","
                            97/100                    ",40
"Wynns Estate Harold Vineyard Cabernet Sauvignon, Coonawarra, Australia","
                            2013                    ","
                            113,998","
                            97/100                    ",41
"Vinoptima Estate Noble Late Harvest Gewurztraminer, Gisborne, New Zealand","
                            2007                    ","
                            113,998","
                            97/100                    ",229
"Felton Road Block 2 Chardonnay, Bannockburn, New Zealand","
                            2013                    ","
                            7,891","
                            97/100                    ",47
"Neudorf Moutere Chardonnay, Nelson, New Zealand","
                            2011                    ","
                            9,330","
                            97/100                    ",41
"Penfolds Great Grandfather Rare Tawny Port, South Australia","
                                                ","
                            9,383","
                            97/100                    ",172
"Te Mata Estate Bullnose Syrah, Hawke's Bay, New Zealand","
                            2009                    ","
                            10,830","
                            97/100                    ",25
"Destiny Bay 'Mystae', Waiheke Island, New Zealand","
                            2013                    ","
                            13,700","
                            97/100                    ",141
"Destiny Bay 'Destinae', Waiheke Island, New Zealand","
                            2010                    ","
                            16,381","
                            97/100                    ",92
"Amisfield RKV - Rocky Knoll Vineyard Reserve Pinot Noir, Central Otago, New Zealand","
                            2013                    ","
                            16,532","
                            97/100                    ",84
"Dry River Pinot Gris, Martinborough, New Zealand","
                            2011                    ","
                            16,685","
                            97/100                    ",43
"Yalumba The Virgilius Viognier, Eden Valley, Australia","
                            2007                    ","
                            19,007","
                            97/100                    ",26
"Vidal Wines Legacy Chardonnay, Hawke's Bay, New Zealand","
                            2015                    ","
                            19,389","
                            97/100                    ",32
"Vidal Wines Legacy Chardonnay, Hawke's Bay, New Zealand","
                            2013                    ","
                            19,389","
                            97/100                    ",25
"Trinity Hill Homage Syrah, Gimblett Gravels, New Zealand","
                            2014                    ","
                            4,616","
                            99/100                    ",76
"Church Road Tom Merlot - Cabernet Sauvignon, Hawke's Bay, New Zealand","
                            2013                    ","
                            9,596","
                            99/100                    ",112
"Bell Hill Chardonnay, Canterbury, New Zealand","
                            2012                    ","
                            20,013","
                            99/100                    ",75
"Penfolds Grange Bin 95, Australia","
                            2006                    ","
                            22","
                            98/100                    ",489
"Penfolds Grange Bin 95, Australia","
                            1987                    ","
                            22","
                            98/100                    ",415
"Penfolds Grange Bin 95, Australia","
                            1986                    ","
                            22","
                            98/100                    ",609
"Penfolds Bin 707 Cabernet Sauvignon, South Australia","
                            2008                    ","
                            192","
                            98/100                    ",356
"Penfolds St. Henri Shiraz, South Australia","
                            2012                    ","
                            234","
                            98/100                    ",84
"Moss Wood Cabernet Sauvignon, Margaret River, Australia","
                            2010                    ","
                            1,040","
                            98/100                    ",112
"Framingham F-Series Riesling Trockenbeerenauslese, Marlborough, New Zealand","
                            2013                    ","
                            18,268","
                            98/100                    ",110
"Te Whau The Point, Waiheke Island, New Zealand","
                            2013                    ","
                            20,415","
                            98/100                    ",42
"Taylors Wakefield Exceptional Parcel Release Estate 'The Visionary' Cabernet Sauvignon, Clare Valley, Australia","
                            2009                    ","
                            20,640","
                            98/100                    ",66
"Martinborough Vineyard Marie Zelie Reserve Pinot Noir, Martinborough, New Zealand","
                            2013                    ","
                            29,231","
                            98/100                    ",118
"Wynns Coonawarra Estate Messenger Cabernet Sauvignon, Coonawarra, Australia","
                            2010                    ","
                            32,834","
                            98/100                    ",45
"Felton Road Block 1 Riesling, Bannockburn, New Zealand","
                            2016                    ","
                            40,249","
                            98/100                    ",29
"Hugel & Fils Pinot Gris Vendange Tardive, Alsace, France","
                            2008                    ","
                            40,969","
                            98/100                    ",41
"Dry River Lovat Gewurztraminer, Martinborough, New Zealand","
                            2014                    ","
                            41,773","
                            98/100                    ",34
"Church Road Tom Syrah, Hawke's Bay, New Zealand","
                            2013                    ","
                            127,557","
                            97/100                    ",98
"Pegasus Bay Encore Noble Riesling, Waipara, New Zealand","
                            2014                    ","
                            135,770","
                            97/100                    ",40
"Weingut Kerpen Wehlener Sonnenuhr Riesling Auslese, Mosel, Germany","
                            2010                    ","
                            22,335","
                            97/100                    ",37
"Weingut Kerpen Wehlener Sonnenuhr Riesling Auslese, Mosel, Germany","
                            2006                    ","
                            22,335","
                            97/100                    ",45
"Esk Valley The Terraces, Hawke's Bay, New Zealand","
                            2006                    ","
                            23,059","
                            97/100                    ",108
"Fromm Clayvin Vineyard Pinot Noir, Marlborough, New Zealand","
                            2013                    ","
                            23,315","
                            97/100                    ",52
"Fromm Clayvin Vineyard Pinot Noir, Marlborough, New Zealand","
                            2012                    ","
                            23,315","
                            97/100                    ",55
"Dry River Gewurztraminer, Martinborough, New Zealand","
                            2009                    ","
                            23,315","
                            97/100                    ",36
"Weingut Kerpen Wehlener Sonnenuhr Riesling Spatlese, Mosel, Germany","
                            2004                    ","
                            24,149","
                            97/100                    ",20
"Gonzalez Byass Matusalem Vinum Optimum Rare Signatum 30 Anos Sherry, Andalucia, Spain","
                                                ","
                            25,592","
                            97/100                    ",47
"Villa Maria Single Vineyard Taylors Pass Pinot Noir, Marlborough, New Zealand","
                            2014                    ","
                            25,898","
                            97/100                    ",35
"Cloudy Bay Te Koko Sauvignon Blanc, Marlborough, New Zealand","
                            2007                    ","
                            1,401","
                            96/100                    ",32
"Stonyridge Vineyard Larose, Waiheke Island, New Zealand","
                            1996                    ","
                            1,557","
                            96/100                    ",189
"Peter Lehmann Stonewell Shiraz, Barossa Valley, Australia","
                            2010                    ","
                            1,576","
                            96/100                    ",45
"Te Mata Estate Coleraine, Hawke's Bay, New Zealand","
                            2008                    ","
                            1,614","
                            96/100                    ",                    
"Cullen Diana Madeline, Margaret River, Australia","
                            2004                    ","
                            1,673","
                            96/100                    ",84
"Howard Park Abercrombie Cabernet Sauvignon, Western Australia","
                            2011                    ","
                            1,747","
                            96/100                    ",64
"Te Mata Estate Coleraine, Hawke's Bay, New Zealand","
                            2014                    ","
                            1,614","
                            98/100                    ",53
"Te Mata Estate Coleraine, Hawke's Bay, New Zealand","
                            2013                    ","
                            1,614","
                            98/100                    ",67
"Bodegas Toro Albala Don PX Convento Seleccion, Montilla-Moriles, Spain","
                            1931                    ","
                            1,767","
                            98/100                    ",273
"Craggy Range Sophia Merlot, Gimblett Gravels, New Zealand","
                            2013                    ","
                            1,844","
                            98/100                    ",60
"Dry River Pinot Noir, Martinborough, New Zealand","
                            2014                    ","
                            2,101","
                            98/100                    ",67
"Penfolds Yattarna 'Bin 144' Chardonnay, South Australia","
                            2010                    ","
                            2,244","
                            98/100                    ",124
"Felton Road Block 5 Pinot Noir, Bannockburn, New Zealand","
                            2013                    ","
                            3,213","
                            98/100                    ",84
"Dog Point Pinot Noir, Marlborough, New Zealand","
                            2012                    ","
                            3,446","
                            98/100                    ",34
"Penfolds Bin 169 Cabernet Sauvignon, Coonawarra, Australia","
                            2010                    ","
                            3,662","
                            98/100                    ",210
"Craggy Range Le Sol Syrah, Gimblett Gravels, New Zealand","
                            2013                    ","
                            4,011","
                            98/100                    ",73
"Ata Rangi Craighall Chardonnay, Martinborough, New Zealand","
                            2013                    ","
                            26,883","
                            97/100                    ",32
"Framingham F-Series Gewurztraminer VT, Marlborough, New Zealand","
                            2014                    ","
                            156,375","
                            97/100                    ",                    
"Giesen Single Vineyard Waihopai Pinot Noir, Marlborough, New Zealand","
                            2012                    ","
                            156,375","
                            97/100                    ",26
"Obsidian Reserve Syrah, Waiheke Island, New Zealand","
                            2014                    ","
                            169,789","
                            97/100                    ",42
"Mills Reef Elspeth One Gimblett Gravels, Gimblett Gravels, New Zealand","
                            2007                    ","
                            169,789","
                            97/100                    ",85
"Stonecroft 'The Original' Syrah, Gimblett Gravels, New Zealand","
                            2014                    ","
                            186,163","
                            97/100                    ",57
"Mills Reef Trust Vineyard Elspeth Cabernet Sauvignon, Gimblett Gravels, New Zealand","
                            2013                    ","
                            186,163","
                            97/100                    ",36
"No.1 Family Estate Cuvee Adele, Marlborough, New Zealand","
                            2009                    ","
                            207,327","
                            97/100                    ",                    
"Howard Park Abercrombie Cabernet Sauvignon, Western Australia","
                            2009                    ","
                            1,747","
                            96/100                    ",55
"Craggy Range Sophia Merlot, Gimblett Gravels, New Zealand","
                            2008                    ","
                            1,844","
                            96/100                    ",38
"Craggy Range Sophia Merlot, Gimblett Gravels, New Zealand","
                            2007                    ","
                            1,844","
                            96/100                    ",66
"Bodegas Toro Albala Don PX Gran Reserva, Montilla-Moriles, Spain","
                            1986                    ","
                            1,844","
                            96/100                    ",43
"Dry River Pinot Noir, Martinborough, New Zealand","
                            2010                    ","
                            2,101","
                            96/100                    ",61
"Dry River Pinot Noir, Martinborough, New Zealand","
                            2008                    ","
                            2,101","
                            96/100                    ",70
"Felton Road Block 3 Pinot Noir, Bannockburn, New Zealand","
                            2015                    ","
                            2,112","
                            96/100                    ",67
"Craggy Range Le Sol Syrah, Gimblett Gravels, New Zealand","
                            2010                    ","
                            4,011","
                            98/100                    ",76
"Craggy Range Le Sol Syrah, Gimblett Gravels, New Zealand","
                            2009                    ","
                            4,011","
                            98/100                    ",75
"Penfolds Grange Bin 95, Australia","
                            2008                    ","
                            22","
                            96/100                    ",553
"Penfolds Grange Bin 95, Australia","
                            2007                    ","
                            22","
                            96/100                    ",480
"Penfolds Grange Bin 95, Australia","
                            1999                    ","
                            22","
                            96/100                    ",392
"Penfolds Grange Bin 95, Australia","
                            1990                    ","
                            22","
                            96/100                    ",481
"Penfolds Grange Bin 95, Australia","
                            1978                    ","
                            22","
                            96/100                    ",605
"Marchesi Antinori Tignanello Toscana IGT, Tuscany, Italy","
                            2000                    ","
                            23","
                            96/100                    ",110
"Penfolds Bin 389 Cabernet - Shiraz, South Australia","
                            2013                    ","
                            129","
                            96/100                    ",58
"Bollinger La Grande Annee Brut, Champagne, France","
                            1996                    ","
                            191","
                            96/100                    ",173
"Penfolds St. Henri Shiraz, South Australia","
                            2008                    ","
                            234","
                            96/100                    ",82
"Penfolds RWT - Bin 798 Shiraz, Barossa Valley, Australia","
                            2013                    ","
                            334","
                            96/100                    ",111
"Two Paddocks Proprietor's Reserve The Fusilier Pinot Noir, Bannockburn, New Zealand","
                            2014                    ","
                            27,615","
                            97/100                    ",50
"Martinborough Vineyard Marie Zelie Reserve Pinot Noir, Martinborough, New Zealand","
                            2010                    ","
                            29,231","
                            97/100                    ",170
"Seresin Sun & Moon Pinot Noir, Marlborough, New Zealand","
                            2013                    ","
                            32,327","
                            97/100                    ",51
"Seresin Sun & Moon Pinot Noir, Marlborough, New Zealand","
                            2012                    ","
                            32,327","
                            97/100                    ",55
"Seresin Sun & Moon Pinot Noir, Marlborough, New Zealand","
                            2010                    ","
                            32,327","
                            97/100                    ",90
"Gonzalez Byass Anada Palo Cortado Sherry, Andalucia, Spain","
                            1982                    ","
                            32,834","
                            97/100                    ",176
"Greystone Wines 'Thomas Brothers' Reserve Pinot Noir, Waipara, New Zealand","
                            2013                    ","
                            33,374","
                            97/100                    ",63
"Felton Road Block 3 Pinot Noir, Bannockburn, New Zealand","
                            2014                    ","
                            2,112","
                            96/100                    ",94
"Felton Road Block 3 Pinot Noir, Bannockburn, New Zealand","
                            2012                    ","
                            2,112","
                            96/100                    ",86
"Kumeu River Hunting Hill Chardonnay, Kumeu, New Zealand","
                            2014                    ","
                            2,387","
                            96/100                    ",42
"De Bortoli Noble One Botrytis Semillon, Riverina, Australia","
                            2007                    ","
                            2,451","
                            96/100                    ",40
"Cloudy Bay Chardonnay, Marlborough, New Zealand","
                            2010                    ","
                            2,728","
                            96/100                    ",29
"Cloudy Bay Chardonnay, Marlborough, New Zealand","
                            2007                    ","
                            2,728","
                            96/100                    ",24
"Cloudy Bay Chardonnay, Marlborough, New Zealand","
                            2006                    ","
                            2,728","
                            96/100                    ",20
"BVE Barossa Valley Estate E & E Black Pepper Shiraz, Barossa Valley, Australia","
                            2003                    ","
                            2,762","
                            96/100                    ",70
"Hardy's Eileen Hardy Shiraz, McLaren Vale, Australia","
                            2000                    ","
                            3,048","
                            96/100                    ",72
"Blank Canvas Wines Pinot Noir, Marlborough, New Zealand","
                            2014                    ","
                            3,092","
                            96/100                    ",32
"Penfolds RWT - Bin 798 Shiraz, Barossa Valley, Australia","
                            2010                    ","
                            334","
                            96/100                    ",115
"Ata Rangi Pinot Noir, Martinborough, New Zealand","
                            2009                    ","
                            791","
                            96/100                    ",57
"Moss Wood Cabernet Sauvignon, Margaret River, Australia","
                            2011                    ","
                            1,040","
                            96/100                    ",79
"Moss Wood Cabernet Sauvignon, Margaret River, Australia","
                            2008                    ","
                            1,040","
                            96/100                    ",89
"Dom Ruinart Rose Millesime, Champagne, France","
                            1990                    ","
                            1,061","
                            96/100                    ",262
"Kumeu River Mate's Vineyard Chardonnay, Kumeu, New Zealand","
                            2015                    ","
                            1,369","
                            96/100                    ",41
"Kumeu River Mate's Vineyard Chardonnay, Kumeu, New Zealand","
                            2013                    ","
                            1,369","
                            96/100                    ",43
"Cloudy Bay Te Koko Sauvignon Blanc, Marlborough, New Zealand","
                            2012                    ","
                            1,401","
                            96/100                    ",40
"Greystone Wines 'Thomas Brothers' Reserve Pinot Noir, Waipara, New Zealand","
                            2012                    ","
                            33,374","
                            97/100                    ",50
"Pegasus Bay Prima Donna Pinot Noir, Waipara, New Zealand","
                            2011                    ","
                            33,374","
                            97/100                    ",57
"Brown Brothers Patricia Cabernet Sauvignon, Australia","
                            2008                    ","
                            33,922","
                            97/100                    ",26
"Craggy Range The Quarry Cabernet Sauvignon, Gimblett Gravels, New Zealand","
                            2009                    ","
                            36,853","
                            97/100                    ",                    
"Craggy Range The Quarry Cabernet Sauvignon, Gimblett Gravels, New Zealand","
                            2007                    ","
                            36,853","
                            97/100                    ",89
"Sacred Hill Riflemans Chardonnay, Hawke's Bay, New Zealand","
                            2015                    ","
                            39,533","
                            97/100                    ",42
"Sacred Hill Riflemans Chardonnay, Hawke's Bay, New Zealand","
                            2014                    ","
                            39,533","
                            97/100                    ",37
"Pyramid Valley Vineyards 'Field of Fire' Chardonnay, Canterbury, New Zealand","
                            2013                    ","
                            39,533","
                            97/100                    ",69
"Felton Road Block 1 Riesling, Bannockburn, New Zealand","
                            2014                    ","
                            40,249","
                            97/100                    ",27
"Felton Road Block 1 Riesling, Bannockburn, New Zealand","
                            2013                    ","
                            40,249","
                            97/100                    ",27
"Turkey Flat Vineyards Shiraz, Barossa Valley, Australia","
                            2005                    ","
                            3,278","
                            96/100                    ",49
"Craggy Range Te Muna Road Vineyard Pinot Noir, Martinborough, New Zealand","
                            2015                    ","
                            3,317","
                            96/100                    ",29
"Vidal Wines Legacy Syrah, Gimblett Gravels, New Zealand","
                            2013                    ","
                            43,432","
                            96/100                    ",40
"Vidal Wines Legacy Syrah, Gimblett Gravels, New Zealand","
                            2010                    ","
                            43,432","
                            96/100                    ",46
"Akarua 'The Siren' Pinot Noir, Bannockburn, New Zealand","
                            2012                    ","
                            45,191","
                            96/100                    ",75
"Giesen 'Clayvin' Single Vineyard Selection Pinot Noir, Marlborough, New Zealand","
                            2012                    ","
                            46,132","
                            96/100                    ",59
"Vidal Wines Legacy Cabernet Sauvignon - Merlot, Gimblett Gravels, New Zealand","
                            2010                    ","
                            47,072","
                            96/100                    ",33
"Howard Park Cabernet Sauvignon - Merlot, Western Australia","
                            2004                    ","
                            47,072","
                            96/100                    ",40
"Elephant Hill Reserve Syrah, Hawke's Bay, New Zealand","
                            2014                    ","
                            48,082","
                            96/100                    ",38
"Martinborough Vineyard Chardonnay, Martinborough, New Zealand","
                            2013                    ","
                            73,107","
                            96/100                    ",28
"Gibbston Valley School House Pinot Noir, Bendigo, New Zealand","
                            2015                    ","
                            81,047","
                            96/100                    ",31
"Greystone Wines Erin's Reserve Chardonnay, Waipara, New Zealand","
                            2015                    ","
                            87,242","
                            96/100                    ",50
"Muddy Water Sugar Daddy Riesling, Waipara, New Zealand","
                            2013                    ","
                            87,242","
                            96/100                    ",50
"Framingham F-Series Riesling Auslese, Marlborough, New Zealand","
                            2016                    ","
                            90,752","
                            96/100                    ",50
"Stonecroft Cabernet Sauvignon, Gimblett Gravels, New Zealand","
                            2014                    ","
                            90,752","
                            96/100                    ",28
"Hardys Thomas Hardy Cabernet Sauvignon, Australia","
                            2012                    ","
                            3,349","
                            96/100                    ",47
"Shirvington Shiraz, McLaren Vale, Australia","
                            2003                    ","
                            3,434","
                            96/100                    ",59
"Dog Point Pinot Noir, Marlborough, New Zealand","
                            2010                    ","
                            3,446","
                            96/100                    ",33
